,ds,y
243,2017:12:27 10:09:45,2.0
244,2017:12:27 10:20:03,2.1
245,2017:12:27 10:28:18,2.2
246,2017:12:27 10:34:29,2.3
247,2017:12:27 10:44:47,2.4
248,2017:12:27 10:59:12,2.5
249,2017:12:27 11:13:37,2.6
250,2017:12:27 11:28:01,2.7
251,2017:12:27 11:34:11,2.6
252,2017:12:27 11:36:16,2.7
253,2017:12:27 11:56:54,2.8
254,2017:12:27 12:15:25,2.7
255,2017:12:27 12:33:58,2.5
256,2017:12:27 12:52:33,2.4
257,2017:12:27 13:33:44,2.5
258,2017:12:27 13:50:13,2.4
259,2017:12:27 14:10:49,2.3
260,2017:12:27 14:33:29,2.8
261,2017:12:27 14:39:41,2.7
262,2017:12:27 14:54:06,2.6
263,2017:12:27 15:10:37,2.5
264,2017:12:27 15:27:07,2.4
265,2017:12:27 15:33:19,3.0
266,2017:12:27 15:35:22,2.9
267,2017:12:27 15:51:50,2.8
268,2017:12:27 16:06:17,2.7
269,2017:12:27 16:14:33,2.6
270,2017:12:27 16:26:56,2.5
271,2017:12:27 16:33:08,2.7
272,2017:12:27 16:35:10,2.6
273,2017:12:27 16:47:33,2.5
274,2017:12:27 17:06:07,2.4
275,2017:12:27 17:28:48,2.3
276,2017:12:27 17:34:59,2.4
277,2017:12:27 17:45:17,2.3
278,2017:12:27 18:32:40,1.9
279,2017:12:27 18:55:18,2.0
280,2017:12:27 19:09:44,2.1
281,2017:12:27 19:20:04,2.2
282,2017:12:27 19:30:23,2.3
283,2017:12:27 19:34:31,2.0
284,2017:12:27 19:44:49,2.1
285,2017:12:27 19:46:53,2.2
286,2017:12:27 19:55:07,2.3
287,2017:12:27 20:03:21,2.4
288,2017:12:27 20:15:41,2.5
289,2017:12:27 20:28:04,2.6
290,2017:12:27 20:34:15,1.9
291,2017:12:27 20:40:26,2.0
292,2017:12:27 20:44:34,2.0
293,2017:12:27 20:46:38,2.0
294,2017:12:27 20:50:45,2.1
295,2017:12:27 21:01:04,2.2
296,2017:12:27 21:11:23,2.3
297,2017:12:27 21:21:43,2.4
298,2017:12:27 21:34:03,1.4
299,2017:12:27 21:36:07,1.5
300,2017:12:27 21:46:24,1.6
301,2017:12:27 21:58:46,1.7
302,2017:12:27 22:09:04,1.8
303,2017:12:27 22:19:23,1.9
304,2017:12:27 22:33:51,1.0
305,2017:12:27 22:31:47,2.0
306,2017:12:27 22:35:55,1.1
307,2017:12:27 22:54:29,1.2
308,2017:12:27 23:06:50,1.3
309,2017:12:27 23:17:09,1.4
310,2017:12:27 23:27:28,1.5
311,2017:12:27 23:33:39,0.7
312,2017:12:27 23:52:13,0.8
313,2017:12:28 00:06:38,0.9
314,2017:12:28 00:23:08,1.0
315,2017:12:28 00:19:00,1.0
316,2017:12:28 00:21:04,1.1
317,2017:12:28 00:29:18,1.1
318,2017:12:28 00:33:26,0.2
319,2017:12:28 00:31:22,1.2
320,2017:12:28 00:35:30,0.3
321,2017:12:28 00:41:42,0.2
322,2017:12:28 00:43:45,0.4
323,2017:12:28 00:45:49,0.2
324,2017:12:28 00:47:53,0.3
325,2017:12:28 00:52:00,0.3
326,2017:12:28 00:49:57,0.4
327,2017:12:28 01:06:24,0.4
328,2017:12:28 01:14:39,0.5
329,2017:12:28 01:22:55,0.6
330,2017:12:28 01:33:14,0.0
331,2017:12:28 01:29:07,0.7
332,2017:12:28 01:41:28,0.1
333,2017:12:28 01:51:47,0.2
334,2017:12:28 02:04:06,0.3
335,2017:12:28 02:06:10,0.2
336,2017:12:28 02:10:18,0.3
337,2017:12:28 02:18:33,0.4
338,2017:12:28 02:26:48,0.5
339,2017:12:28 02:33:00,0.0
340,2017:12:28 02:35:04,0.1
341,2017:12:28 03:01:55,0.2
342,2017:12:28 03:10:10,0.3
343,2017:12:28 03:18:22,0.4
344,2017:12:28 03:26:38,0.5
345,2017:12:28 03:34:52,-0.0
346,2017:12:28 03:43:07,0.0
347,2017:12:28 03:45:11,0.0
348,2017:12:28 03:53:25,0.1
349,2017:12:28 04:07:51,0.2
350,2017:12:28 04:16:06,0.3
351,2017:12:28 04:22:17,0.4
352,2017:12:28 04:30:31,0.5
353,2017:12:28 04:32:34,-0.2
354,2017:12:28 04:51:08,-0.1
355,2017:12:28 05:03:25,-0.0
356,2017:12:28 05:07:33,0.0
357,2017:12:28 05:09:37,0.1
358,2017:12:28 05:15:48,0.2
359,2017:12:28 05:21:59,0.3
360,2017:12:28 05:28:10,0.5
361,2017:12:28 05:34:20,0.1
362,2017:12:28 05:44:40,0.2
363,2017:12:28 05:57:04,0.3
364,2017:12:28 06:05:20,0.4
365,2017:12:28 06:11:32,0.5
366,2017:12:28 06:23:55,0.6
367,2017:12:28 06:32:09,0.7
368,2017:12:28 06:34:13,-0.0
369,2017:12:28 06:36:17,0.0
370,2017:12:28 06:38:20,0.0
371,2017:12:28 06:44:31,0.1
372,2017:12:28 07:03:03,0.2
373,2017:12:28 07:11:19,0.3
374,2017:12:28 07:21:38,0.4
375,2017:12:28 07:29:54,0.5
376,2017:12:28 07:34:02,-0.4
377,2017:12:28 07:46:24,-0.3
378,2017:12:28 08:02:55,-0.2
379,2017:12:28 08:11:09,-0.1
380,2017:12:28 08:19:21,-0.0
381,2017:12:28 08:21:25,0.0
382,2017:12:28 08:25:32,0.1
383,2017:12:28 08:33:47,-0.4
384,2017:12:28 08:48:14,-0.3
